,id,fecha,nom_estac,clave_de_estacion,clave_parametro,nombre_de_parametro,unidades_parametros,valor,id_unidad,clave_de_unidad,nombre_de_unidad,alt,obs_estac,id_station,latitud,longitud,coordenadas
11181,400105,2020-03-19T18:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,41.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11182,400152,2020-03-19T19:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,38.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11183,400164,2020-03-19T19:00:00+00:00,FES Acatlán,FAC,O3,Ozono,1,29.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11184,400189,2020-03-19T19:00:00+00:00,FES Acatlán,FAC,PM10,Partículas menores a 10 micrómetros,2,32.0,2,µg/m³,microgramos por metro cúbico,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11185,400203,2020-03-19T19:00:00+00:00,FES Acatlán,FAC,CO,Monóxido de carbono,15,0.6,15,ppm,partes por millón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11186,400221,2020-03-19T02:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,20.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11187,400241,2020-03-19T02:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,2.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11188,400275,2020-03-19T20:00:00+00:00,FES Acatlán,FAC,NO,Óxido nítrico,1,6.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11189,400288,2020-03-19T20:00:00+00:00,FES Acatlán,FAC,NO2,Dióxido de nitrógeno,1,31.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
11190,400301,2020-03-19T20:00:00+00:00,FES Acatlán,FAC,SO2,Dióxido de azufre,1,2.0,1,ppb,partes por billón,2299,,484150570109,19.482473,-99.243524,"19.482473,-99.243524"
